source,target,translation
Tom and Mary's relationship was very volatile and they argued constantly,Mối quan hệ của tom và mary rất không ổn định và họ cãi nhau liên tục,tom và mối quan hệ của mary rất không thể truy cập và họ liên tục liên tục
We'd better go back a little.,chúng ta nên quay lại một chút,chúng ta nên quay lại một chút
Tom took Mary back home,tom đưa mary trở về nhà,tom đưa mary trở về nhà
This is the restaurant where we had dinner last week,đây là nhà hàng nơi chúng tôi ăn tối tuần trước,đây là nhà hàng nơi chúng tôi ăn tối tuần trước
She advised him not to borrow money from his friends.,Cô khuyên anh đừng vay tiền từ bạn bè.,cô khuyên anh không nên vay tiền từ bạn bè .
There has to be something that I can do.,phải có một cái gì đó mà tôi có thể làm.,phải có một cái gì đó mà tôi có thể làm .
Tom was in Boston last week.,Tom đã ở boston tuần trước.,tom đã ở boston tuần trước .
Tom lives next door,tom sống bên cạnh,tom sống bên cạnh
That's not a coincidence,đó không phải là sự trùng hợp,đó không phải là một sự trùng hợp
"Something's come up, so I can't attend today's meeting","một cái gì đó đến, vì vậy tôi không thể tham dự cuộc họp ngày hôm nay","một cái gì đó đến , vì vậy tôi không thể tham dự cuộc họp ngày hôm nay"
Here's $5,đây là $ 5,đây là $ 5
"He'll never show it, but I think that deep down, he's seriously worried","anh ấy sẽ không bao giờ thể hiện điều đó, nhưng tôi nghĩ rằng sâu thẳm, anh ấy lo lắng nghiêm trọng","anh ấy sẽ không bao giờ thể hiện nó , nhưng tôi nghĩ rằng sâu thẳm , anh ấy lo lắng nghiêm túc"
How did we reach this point?,Làm thế nào chúng ta đạt đến điểm này?,làm thế nào chúng ta đạt được điểm này ?
I am paying the phone bill,tôi đang trả hóa đơn điện thoại,tôi đang trả hóa đơn điện thoại
The person in question is now staying in America.,người trong câu hỏi hiện đang ở Mỹ.,người trong câu hỏi hiện đang ở mỹ .
I am doubtful of his success.,tôi nghi ngờ về thành công của anh ấy,tôi nghi ngờ thành công của anh ấy .
Tom never goes anywhere by himself.,tom không bao giờ đi bất cứ nơi nào một mình.,tom không bao giờ đi bất cứ nơi nào một mình .
The part of an iceberg under the water is much larger than that above the water.,phần của một tảng băng dưới nước lớn hơn nhiều so với mặt nước.,phần của một tảng băng dưới nước lớn hơn nhiều so với nước .
We were crowded into the small room.,chúng tôi chen chúc vào căn phòng nhỏ.,chúng tôi rất đông vào phòng nhỏ .
This job is my bread and butter,công việc này là bánh mì và bơ của tôi,công việc này là bánh mì của tôi và bơ
Is eating fish good for you?,Ăn cá có tốt cho bạn không?,ăn cá có tốt cho bạn không ?
It must be past midnight.,phải quá nửa đêm,phải quá nửa đêm
I know the test was difficult,tôi biết bài kiểm tra rất khó,tôi biết bài kiểm tra rất khó
I was like that when I was younger.,tôi đã như thế khi tôi còn trẻ,tôi đã thích điều đó khi tôi còn trẻ
Why don't you wait here?,tại sao bạn không đợi ở đây,tại sao bạn không đợi ở đây
Please let me make it up to you.,xin vui lòng cho tôi làm cho nó tùy thuộc vào bạn.,xin vui lòng để tôi làm cho nó tùy thuộc vào bạn .
Ambition drove him to murder,tham vọng đẩy anh ta đến chỗ giết người,tham vọng chở anh ta đến vụ giết người
This song was written by Phil last year.,bài hát này được viết bởi phil năm ngoái.,bài hát này được viết bởi <UNK> năm ngoái .
I think Tom is a bit too impatient.,Tôi nghĩ rằng tom là một chút quá thiếu kiên nhẫn.,tôi nghĩ rằng tom hơi nôn nóng .
He can speak English much more fluently than I can.,anh ấy có thể nói tiếng Anh trôi chảy hơn tôi có thể.,anh ấy có thể nói tiếng anh trôi chảy hơn tôi có thể .
Tom will be speaking at the dinner tonight,Tom sẽ nói chuyện vào bữa tối nay,tom sẽ nói chuyện vào bữa tối nay
